employer-role,employer_role_id,employer,employer_id,role,role_id
Birmingham Clinical Trials Unit (BCTU) - Analyst Programmer,1,Birmingham Clinical Trials Unit (BCTU),1,Analyst Programmer,5
Cancer Research UK  Clinical Trials Unit - Analyst Programmer,2,Cancer Research UK  Clinical Trials Unit,2,Analyst Programmer,5
Cancer Research UK  Clinical Trials Unit - Data Manager,3,Cancer Research UK  Clinical Trials Unit,2,Data Manager,2
National Car Auctions - Auction Driver,4,National Car Auctions,6,Auction Driver,3
Suresite LTD - Laravel Developer,5,Suresite LTD,4,Laravel Developer,6
Synstar Computer Services - Track-side Engineer,6,Synstar Computer Services,3,Track-side Engineer,1
Bechtel Water Technology – Technical Data Processor,7,Bechtel Water Technology,5,Technical Data Processor,7
